id,shipped_qty,shipment_headers_id,bl_awb_no,ship_date,po_details,purchase_item_name,purchase_item_id,po_number,unit_chg_weight_g,total_chg_weight_g,total_shipment_weight_g,total_shipment_cost_jpy,allocated_shipment_cost_jpy,unit_shipment_cost_jpy
d7654638-8e93-4a6f-ab0c-a0feabb9bc54,182,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,f0e0bc6c-42c6-4e13-abe9-531593b08311,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0016,285.18,51903,244684,41133,8725,48
42845e3c-7ee3-49c0-8482-bb5cbd6dc929,99,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,77d73d71-2176-4306-9a9d-a034c196e0d8,商品本体　お食事エプロン　恐竜Ｂ,rec4Tag8KXQM4IyWk,PO-0016,285.18,28233,244684,41133,4746,48
bf4e7d52-d73f-43c4-a2e7-2ee3f5f270ce,97,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,0f145399-a5d5-437c-b411-0abe50e1fe42,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0016,285.18,27662,244684,41133,4650,48
566f20d4-c52f-4742-a3f2-ddac6a2cd087,100,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,56cb59f9-55ea-4d4d-9860-6aa259592fde,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0016,285.18,28518,105231,19799,5366,54
e0df5fbd-de6f-45eb-98f4-266d6fb9c71e,95,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,8eec1f87-5f64-4afa-84a0-aa86b57b1ea6,商品本体　お食事エプロン　無地（赤）,recCiharjtemJ0bgp,PO-0016,285.18,27092,105231,19799,5097,54
b28ab73f-6acf-499b-87d2-e32919ab74dc,91,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,dfcba718-be51-49b6-a034-ed0688c5bc9b,商品本体　お食事エプロン　海,recuZ1ITBNc9oYzMa,PO-0016,285.18,25951,244684,41133,4363,48
1d302cdd-649c-4a8b-8ed1-e0c96c10c60b,98,7a295804-ce24-4f6d-8aec-29c0194e04f4,DQS2945758EQ,2024/11/8,9f915387-cb24-4f4c-a43f-09b381d6858d,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0016,285.18,27948,105231,19799,5258,54
9e4dbe2e-42b3-495e-a2ec-6be8fb94e30c,199,14c3230d-54b5-40b4-ab28-3ce547f09efa,DQS2945757EQ,2024/11/8,bb976c37-1b3b-4a4e-918e-c07644ab63ef,商品本体　お食事エプロン　はたらくくるま,recd2UG1uBWdKGIb3,PO-0016,285.18,56751,244684,41133,9540,48
57dadcdf-1334-405d-bff8-c7755d42b01a,16,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,f0e0bc6c-42c6-4e13-abe9-531593b08311,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0016,285.18,4563,39070,11583,1353,85
b07ce630-adf5-41e9-9abd-30fc4ff175a6,2,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,dfcba718-be51-49b6-a034-ed0688c5bc9b,商品本体　お食事エプロン　海,recuZ1ITBNc9oYzMa,PO-0016,285.18,570,39070,11583,169,85
